City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coihaique,CL,-45.5752,-72.0662,54.21,76,100,1.14,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,80.64,74,26,10.22,light rain
2,Iqaluit,CA,63.7506,-68.5145,-20.31,75,0,2.3,clear sky
3,Kodiak,US,57.79,-152.4072,36.91,81,100,10.36,light rain
4,Mount Gambier,AU,-37.8333,140.7667,69.71,60,100,13.8,overcast clouds
5,La Baule-Escoublac,FR,47.2922,-2.364,48.7,85,99,5.75,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,70.81,89,31,9.51,scattered clouds
7,Albany,US,42.6001,-73.9662,53.22,92,61,7.05,broken clouds
8,Kemin,KG,42.7846,75.6892,31.51,91,100,2.86,light snow
9,Avarua,CK,-21.2078,-159.775,82.45,74,49,2.3,scattered clouds
10,Sawtell,AU,-30.3833,153.1,79.18,50,75,13.8,broken clouds
11,Port Alfred,ZA,-33.5906,26.891,70.61,86,16,3.98,light rain
12,Kahului,US,20.8947,-156.47,82.42,66,20,6.91,few clouds
13,Saldanha,ZA,-33.0117,17.9442,66.25,86,32,8.43,scattered clouds
14,General Roca,AR,-39.0333,-67.5833,63.63,39,100,18.88,overcast clouds
15,Ponta Do Sol,PT,32.6667,-17.1,59.05,78,49,14.85,scattered clouds
16,Cidreira,BR,-30.1811,-50.2056,65.62,84,40,7.05,scattered clouds
17,Batagay-Alyta,RU,67.8006,130.4114,1.42,72,8,5.23,clear sky
18,Hobart,AU,-42.8794,147.3294,70.27,61,75,5.75,broken clouds
19,Tuatapere,NZ,-46.1333,167.6833,66.6,55,36,5.37,scattered clouds
20,Ulaanbaatar,MN,47.9077,106.8832,17.73,41,0,6.71,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,48.31,71,0,11.5,clear sky
22,Puerto Ayora,EC,-0.7393,-90.3518,78.33,81,25,4.38,scattered clouds
23,Houma,US,29.5958,-90.7195,57.99,59,0,8.05,clear sky
24,Sao Filipe,CV,14.8961,-24.4956,69.51,68,6,13.94,clear sky
25,Ushuaia,AR,-54.8,-68.3,38.14,87,100,11.07,overcast clouds
26,Bluff,NZ,-46.6,168.3333,67.8,73,56,16.84,broken clouds
27,Yellowknife,CA,62.456,-114.3525,18.12,100,100,9.22,light snow
28,San Patricio,US,28.017,-97.5169,64.24,59,0,7.05,clear sky
29,Buala,SB,-8.145,159.5921,83.5,77,62,5.32,light rain
30,Hami,CN,42.8,93.45,44.44,26,100,1.48,overcast clouds
31,Longyearbyen,SJ,78.2186,15.6401,19.24,68,20,19.57,few clouds
32,Dubbo,AU,-32.25,148.6167,84.33,37,0,9.22,clear sky
33,Mataura,NZ,-46.1927,168.8643,67.48,45,37,4.18,scattered clouds
34,Busselton,AU,-33.65,115.3333,78.8,50,100,7.38,overcast clouds
35,Hithadhoo,MV,-0.6,73.0833,83.26,73,100,16.42,overcast clouds
36,Santa Luzia,BR,-19.7697,-43.8514,74.3,73,0,4.61,clear sky
37,Saskylakh,RU,71.9167,114.0833,8.78,93,100,2.33,overcast clouds
38,Fairborn,US,39.8209,-84.0194,41.45,92,100,16.11,light rain
